كد درس,نام درس,نوع درس,تعداد واحد نظري,تعداد واحد عملي,كد ارائه كلاس درس,نام كلاس درس,زمانبندي تشكيل كلاس,استاد,ساير اساتيد,حداكثر ظرفيت,تعداد ثبت نامي تاكنون,زمان امتحان,مكان برگزاري,مقطع ارائه درس,نوع ارائه,سطح ارائه,دانشجويان مجاز به اخذ كلاس,گروه آموزشي,دانشكده,واحد,استان,Column1
90029,فارسي,نظري,3,0,1.631E+19,,شنبه  از 07:30 تا 10:15 ,فرزانه پوررضا,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,سه شنبه  از 10:15 تا 11:45 سه شنبه  از  از 12:15 تا 13:15 ,حسين سخاوتي,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,سه شنبه  از 07:30 تا 10:15 ,حسين سخاوتي,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,دوشنبه  از 10:15 تا 11:45 يكشنبه  از 12:15 تا 13:15 ,مجيد كراري,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,دوشنبه  از 07:30 تا 10:15 ,مجيد كراري,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
55006,زبان فارسي (پيش نياز دانشگاهي),نظري,2,0,1.631E+19,,يكشنبه  از 15:00 تا 16:45 ,زينت نوروز نژاد فرد,,55,,1405/10/16 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
55006,زبان فارسي (پيش نياز دانشگاهي),نظري,2,0,1.631E+19,,يكشنبه  از 13:15 تا 15:00 ,زينت نوروز نژاد فرد,,55,,1405/10/16 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,يكشنبه  از 10:15 تا 11:45 يكشنبه  از  از 12:15 تا 13:15 ,زينت نوروز نژاد فرد,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
90029,فارسي,نظري,3,0,1.631E+19,,يكشنبه  از 07:30 تا 10:15 ,زينت نوروز نژاد فرد,,55,,1405/10/17 از 08:00 تا 09:00 ,,كارشناسي ناپيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
7000035438,علوم و معارف دفاع مقدس و مقاومت ,نظري,2,0,163700033,خواهران,پنج شنبه  از 13:15 تا 15:00 ,ليلا نوراني,,45,,1405/10/21 از 16:30 تا 18:00 ,علوم انساني-8,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,65,برادران - استاد  اصلي درس اقاي  قشقايي ,پنج شنبه  از 16:15 تا 18:00 ,فيروز حسيني پور,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,64,برادران - استاد  اصلي درس اقاي  قشقايي ,پنج شنبه  از 14:30 تا 16:15 ,فيروز حسيني پور,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
99062,ورزش 1,عملي,0,1,63,برادران - استاد  اصلي درس اقاي  قشقايي ,پنج شنبه  از 12:45 تا 14:30 ,فيروز حسيني پور,,20,,1405/10/05 از 08:00 تا 10:00 ,163 - شيراز-ورزشي پيرواني سالن الف,كارشناسي پيوسته,حضوري,ارائه در سطح دانشكده,-,گروه آموزشي دروس عمومي(7116399),163 - شيراز(163),163 - شيراز(71163),71 - فارس(71),
